"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"P1: POST /subscriptions/99999/grant → 404.","293","test_p1_grant_due_nonexistent","tests.api","Sat May 23 22:00:25 UTC 2026","passed","Sat May 23 22:00:25 UTC 2026","TestBillingSubscriptions","test_billing","",""
"POST /v1/interview/start-with-job without job_description → 422.","305","test_p1_start_interview_with_job_missing_jd","tests.api","Sat May 23 22:01:29 UTC 2026","passed","Sat May 23 22:01:29 UTC 2026","TestAIInterviewP1","test_interview","",""
"","310","test_idp_course_request","tests.api","Sat May 23 22:00:03 UTC 2026","passed","Sat May 23 22:00:04 UTC 2026","TestAuthIDPAssessments","test_auth","",""
"P1: POST /wallet/refund with empty body → 422.","292","test_p1_refund_empty","tests.api","Sat May 23 22:00:22 UTC 2026","passed","Sat May 23 22:00:22 UTC 2026","TestBillingWallet","test_billing","",""
"","3463","test_generate_mcq_endpoint","tests.api","Sat May 23 22:11:17 UTC 2026","failed","Sat May 23 22:11:21 UTC 2026","TestQuizAPIs","test_quiz","",""
"","303","test_get_user_recommendations","tests.api","Sat May 23 22:01:25 UTC 2026","passed","Sat May 23 22:01:25 UTC 2026","TestAIInterview","test_interview","",""
"P1: POST /admin/bootstrap-free-credits with empty → should use default.","300","test_p1_bootstrap_empty","tests.api","Sat May 23 22:00:28 UTC 2026","passed","Sat May 23 22:00:29 UTC 2026","TestBillingAdmin","test_billing","",""
"POST /auth/api/jd/ingest/json with empty body → 422.","290","test_p1_ingest_jd_structured_empty_payload","tests.api","Sat May 23 21:58:41 UTC 2026","passed","Sat May 23 21:58:41 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","303","test_oauth_google_authorize","tests.api","Sat May 23 21:58:19 UTC 2026","passed","Sat May 23 21:58:19 UTC 2026","TestAuthOther","test_auth","",""
"P1: GET /api/v1/it-journey/constraints/FAKE → 404.","294","test_p1_get_constraints_nonexistent_session","tests.api","Sat May 23 22:01:54 UTC 2026","passed","Sat May 23 22:01:54 UTC 2026","TestJobsITJourneyP1","test_jobs_endpoints","",""
