"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","test_instructor_dashboard","tests.api","Sun May 17 16:05:01 UTC 2026","passed","Sun May 17 16:05:02 UTC 2026","TestCoursesAnalytics","test_courses","",""
"","230","test_list_my_university_users","tests.api","Sun May 17 16:02:25 UTC 2026","passed","Sun May 17 16:02:25 UTC 2026","TestAuthUniversity","test_auth","",""
"","233","test_root","tests.api","Sun May 17 16:04:44 UTC 2026","passed","Sun May 17 16:04:44 UTC 2026","TestCoursesHealth","test_courses","",""
"P1: GET /api/v1/it-journey/constraints/FAKE → 404.","215","test_p1_get_constraints_nonexistent_session","tests.api","Sun May 17 16:06:08 UTC 2026","passed","Sun May 17 16:06:09 UTC 2026","TestJobsITJourneyP1","test_jobs_endpoints","",""
"","333","test_add_user_request","tests.api","Sun May 17 16:04:03 UTC 2026","passed","Sun May 17 16:04:03 UTC 2026","TestAuthCompanyExtended","test_auth","",""
"P0: POST /api/v1/subscriptions/{user_id}/grant.","311","test_grant_subscription","tests.api","Sun May 17 16:04:41 UTC 2026","passed","Sun May 17 16:04:41 UTC 2026","TestBillingNewEndpoints","test_billing","",""
"P0: Get questions for an assessment.","238","test_get_assessment_questions","tests.api","Sun May 17 16:03:03 UTC 2026","passed","Sun May 17 16:03:03 UTC 2026","TestAuthAssessmentQuestions","test_auth","",""
"","238","test_update_coding_question_pool_item_p0","tests.api","Sun May 17 16:15:13 UTC 2026","passed","Sun May 17 16:15:14 UTC 2026","TestQuizAPIs","test_quiz","",""
"P1: POST /api/matching/run/99999 → 404.","216","test_p1_run_matching_nonexistent_jd","tests.api","Sun May 17 16:03:12 UTC 2026","passed","Sun May 17 16:03:13 UTC 2026","TestAuthStoredMatchResultsP1","test_auth","",""
"","212","test_oauth_linkedin_authorize","tests.api","Sun May 17 16:02:14 UTC 2026","passed","Sun May 17 16:02:14 UTC 2026","TestAuthOther","test_auth","",""
"","224","test_put_company","tests.api","Sun May 17 16:04:04 UTC 2026","passed","Sun May 17 16:04:04 UTC 2026","TestAuthCompanyExtended","test_auth","",""
"P1: POST /idp/generate-roadmap-from-gap with missing required field → 422.","214","test_p1_idp_roadmap_from_gap_empty","tests.api","Sun May 17 16:03:35 UTC 2026","passed","Sun May 17 16:03:35 UTC 2026","TestAuthIDPP1","test_auth","",""
"P0: List active pricing entries (public).","263","test_list_pricing_entries","tests.api","Sun May 17 16:04:31 UTC 2026","passed","Sun May 17 16:04:32 UTC 2026","TestBillingPricing","test_billing","",""
"P1: Invite candidate by resume ID.","1752","test_invite_candidate_by_resume","tests.api","Sun May 17 16:03:40 UTC 2026","failed","Sun May 17 16:03:42 UTC 2026","TestAuthCompanyInvites","test_auth","",""
"P0: Get student assessment history.","222","test_student_assessment_history","tests.api","Sun May 17 16:03:05 UTC 2026","passed","Sun May 17 16:03:06 UTC 2026","TestAuthStudentAssessments","test_auth","",""
"","238","test_p1_instructor_dashboard_no_auth","tests.api","Sun May 17 16:05:02 UTC 2026","passed","Sun May 17 16:05:02 UTC 2026","TestCoursesAnalyticsP1","test_courses","",""
"","290","test_get_user_history","tests.api","Sun May 17 16:05:44 UTC 2026","passed","Sun May 17 16:05:44 UTC 2026","TestAIInterview","test_interview","",""
"","233","test_p1_create_course_no_auth","tests.api","Sun May 17 16:04:47 UTC 2026","passed","Sun May 17 16:04:47 UTC 2026","TestCoursesCRUDP1","test_courses","",""
"POST /api/assessments/manual-create without token → 401.","441","test_p1_manual_create_assessment_no_auth","tests.api","Sun May 17 16:03:00 UTC 2026","passed","Sun May 17 16:03:00 UTC 2026","TestAuthAssessmentsP1","test_auth","",""
"","265","test_p1_update_nonexistent_course","tests.api","Sun May 17 16:04:48 UTC 2026","passed","Sun May 17 16:04:48 UTC 2026","TestCoursesCRUDP1","test_courses","",""
"P0: GET /health.","259","test_health_new","tests.api","Sun May 17 16:17:18 UTC 2026","passed","Sun May 17 16:17:18 UTC 2026","TestResumeNewEndpoints","test_resumes","",""
"","213","test_add_students","tests.api","Sun May 17 16:04:09 UTC 2026","passed","Sun May 17 16:04:09 UTC 2026","TestAuthClassrooms","test_auth","",""
"","287","test_analysis_health","tests.api","Sun May 17 16:05:42 UTC 2026","passed","Sun May 17 16:05:42 UTC 2026","TestAIInterview","test_interview","",""
"","244","test_create_lesson","tests.api","Sun May 17 16:04:52 UTC 2026","passed","Sun May 17 16:04:52 UTC 2026","TestCoursesLessons","test_courses","",""
"P1: PUT /wallet/controls without token → 401/403.","245","test_p1_update_controls_no_auth","tests.api","Sun May 17 16:04:31 UTC 2026","passed","Sun May 17 16:04:31 UTC 2026","TestBillingWallet","test_billing","",""
"POST /api/jd/create without token → 401/403.","233","test_p1_create_jd_no_auth","tests.api","Sun May 17 16:02:54 UTC 2026","passed","Sun May 17 16:02:55 UTC 2026","TestAuthJDCreateP1","test_auth","",""
"","221","test_list_companies","tests.api","Sun May 17 16:05:55 UTC 2026","passed","Sun May 17 16:05:55 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"P0: GET /v1/mentors/{id}/subscription — get subscription status.","224","test_get_mentor_subscription","tests.api","Sun May 17 16:06:27 UTC 2026","passed","Sun May 17 16:06:27 UTC 2026","TestMentorshipNewEndpoints","test_mentorship","",""
"","299","test_p1_bookmark_count_no_auth","tests.api","Sun May 17 16:05:11 UTC 2026","passed","Sun May 17 16:05:11 UTC 2026","TestCoursesNotesP1","test_courses","",""
"","215","test_p1_enroll_missing_course_id","tests.api","Sun May 17 16:04:55 UTC 2026","passed","Sun May 17 16:04:55 UTC 2026","TestCoursesEnrollmentsP1","test_courses","",""
"P1: POST /v1/tests/schedule with empty body → 422.","217","test_p1_schedule_test_empty","tests.api","Sun May 17 16:06:33 UTC 2026","passed","Sun May 17 16:06:33 UTC 2026","TestMentorshipNewEndpointsP1","test_mentorship","",""
"P1: DELETE /me/mentee/goals/99999 → 204 (idempotent) or 404.","222","test_p1_delete_goal_nonexistent","tests.api","Sun May 17 16:06:14 UTC 2026","passed","Sun May 17 16:06:14 UTC 2026","TestMentorshipSkills","test_mentorship","",""
"","230","test_update_job","tests.api","Sun May 17 16:05:57 UTC 2026","passed","Sun May 17 16:05:57 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"","269","test_list_coding_questions_pool","tests.api","Sun May 17 16:15:13 UTC 2026","passed","Sun May 17 16:15:13 UTC 2026","TestQuizAPIs","test_quiz","",""
"","683","test_get_evaluation_by_type","tests.api","Sun May 17 16:15:07 UTC 2026","passed","Sun May 17 16:15:08 UTC 2026","TestQuizAPIs","test_quiz","",""
"P0: List active credit packs (public).","210","test_list_credit_packs","tests.api","Sun May 17 16:04:32 UTC 2026","passed","Sun May 17 16:04:32 UTC 2026","TestBillingPricing","test_billing","",""
